video_name,frame_paths,frame_numbers,text_label,category_en,light_conditions,weather,scene,source_category
00887.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00887\pre_event\00887_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00887\pre_event\00887_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00887\pre_event\00887_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00887\pre_event\00887_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00887\pre_event\00887_pre_05.jpg,96|102|108|114|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and cloudy weather, showing a same-direction left-rear collision conflict.",same-direction left-rear collision conflict,Normal,Cloudy,Highway,6
00785.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00785\pre_event\00785_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00785\pre_event\00785_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00785\pre_event\00785_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00785\pre_event\00785_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00785\pre_event\00785_pre_05.jpg,78|88|99|110|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Cloudy,Urban,2
00014.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00014\pre_event\00014_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00014\pre_event\00014_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00014\pre_event\00014_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00014\pre_event\00014_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00014\pre_event\00014_pre_05.jpg,100|105|110|115|120,"A pre-crash dashcam traffic scene on a sub-urban road, under normal light and cloudy weather, showing a opposite-direction frontal center collision conflict.",opposite-direction frontal center collision conflict,Normal,Cloudy,Sub-urban,3
00593.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00593\pre_event\00593_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00593\pre_event\00593_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00593\pre_event\00593_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00593\pre_event\00593_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00593\pre_event\00593_pre_05.jpg,71|83|96|108|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and rain weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Rain,Urban,8
00869.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00869\pre_event\00869_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00869\pre_event\00869_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00869\pre_event\00869_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00869\pre_event\00869_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00869\pre_event\00869_pre_05.jpg,74|86|97|108|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Normal,Clear,Urban,5
00621.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00621\pre_event\00621_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00621\pre_event\00621_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00621\pre_event\00621_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00621\pre_event\00621_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00621\pre_event\00621_pre_05.jpg,12|39|66|93|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Cloudy,Urban,8
00117.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00117\pre_event\00117_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00117\pre_event\00117_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00117\pre_event\00117_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00117\pre_event\00117_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00117\pre_event\00117_pre_05.jpg,116|117|118|119|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and clear weather, showing a same-direction right-rear collision conflict.",same-direction right-rear collision conflict,Normal,Clear,Highway,4
00690.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00690\pre_event\00690_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00690\pre_event\00690_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00690\pre_event\00690_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00690\pre_event\00690_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00690\pre_event\00690_pre_05.jpg,1|31|60|90|120,"A pre-crash dashcam traffic scene on a sub-urban road, under twilight light and cloudy weather, showing a opposite-direction frontal center collision conflict.",opposite-direction frontal center collision conflict,Twilight,Cloudy,Sub-urban,3
00494.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00494\pre_event\00494_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00494\pre_event\00494_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00494\pre_event\00494_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00494\pre_event\00494_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00494\pre_event\00494_pre_05.jpg,91|98|106|113|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Clear,Urban,8
00857.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00857\pre_event\00857_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00857\pre_event\00857_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00857\pre_event\00857_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00857\pre_event\00857_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00857\pre_event\00857_pre_05.jpg,50|68|85|102|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Normal,Clear,Urban,5
00235.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00235\pre_event\00235_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00235\pre_event\00235_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00235\pre_event\00235_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00235\pre_event\00235_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00235\pre_event\00235_pre_05.jpg,61|76|90|105|120,"A pre-crash dashcam traffic scene on a other road, under normal light and clear weather, showing a opposite-direction right-side collision conflict.",opposite-direction right-side collision conflict,Normal,Clear,Other,1
00369.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00369\pre_event\00369_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00369\pre_event\00369_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00369\pre_event\00369_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00369\pre_event\00369_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00369\pre_event\00369_pre_05.jpg,46|64|83|102|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Clear,Urban,2
00071.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00071\pre_event\00071_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00071\pre_event\00071_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00071\pre_event\00071_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00071\pre_event\00071_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00071\pre_event\00071_pre_05.jpg,93|100|106|113|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and unknown weather weather, showing a same-direction left-front collision conflict.",same-direction left-front collision conflict,Normal,,Urban,7
00897.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00897\pre_event\00897_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00897\pre_event\00897_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00897\pre_event\00897_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00897\pre_event\00897_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00897\pre_event\00897_pre_05.jpg,29|52|74|97|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction left-front collision conflict.",same-direction left-front collision conflict,Normal,Clear,Urban,7
00947.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00947\pre_event\00947_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00947\pre_event\00947_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00947\pre_event\00947_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00947\pre_event\00947_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00947\pre_event\00947_pre_05.jpg,86|94|103|112|120,"A pre-crash dashcam traffic scene on a highway road, under twilight light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Twilight,Clear,Highway,5
00643.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00643\pre_event\00643_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00643\pre_event\00643_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00643\pre_event\00643_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00643\pre_event\00643_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00643\pre_event\00643_pre_05.jpg,77|88|98|109|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction left-rear collision conflict.",same-direction left-rear collision conflict,Normal,Clear,Urban,6
00013.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00013\pre_event\00013_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00013\pre_event\00013_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00013\pre_event\00013_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00013\pre_event\00013_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00013\pre_event\00013_pre_05.jpg,61|76|90|105|120,"A pre-crash dashcam traffic scene on a sub-urban road, under normal light and cloudy weather, showing a opposite-direction right-side collision conflict.",opposite-direction right-side collision conflict,Normal,Cloudy,Sub-urban,1
00562.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00562\pre_event\00562_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00562\pre_event\00562_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00562\pre_event\00562_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00562\pre_event\00562_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00562\pre_event\00562_pre_05.jpg,69|82|94|107|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a same-direction left-front collision conflict.",same-direction left-front collision conflict,Normal,Cloudy,Urban,7
00976.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00976\pre_event\00976_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00976\pre_event\00976_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00976\pre_event\00976_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00976\pre_event\00976_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00976\pre_event\00976_pre_05.jpg,74|86|97|108|120,"A pre-crash dashcam traffic scene on a sub-urban road, under normal light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Normal,Clear,Sub-urban,5
00298.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00298\pre_event\00298_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00298\pre_event\00298_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00298\pre_event\00298_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00298\pre_event\00298_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00298\pre_event\00298_pre_05.jpg,72|84|96|108|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and rain weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Rain,Urban,8
00131.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00131\pre_event\00131_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00131\pre_event\00131_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00131\pre_event\00131_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00131\pre_event\00131_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00131\pre_event\00131_pre_05.jpg,90|98|105|112|120,"A pre-crash dashcam traffic scene on a other road, under normal light and cloudy weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Cloudy,Other,2
00173.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00173\pre_event\00173_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00173\pre_event\00173_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00173\pre_event\00173_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00173\pre_event\00173_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00173\pre_event\00173_pre_05.jpg,34|56|77|98|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Cloudy,Urban,8
00124.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00124\pre_event\00124_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00124\pre_event\00124_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00124\pre_event\00124_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00124\pre_event\00124_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00124\pre_event\00124_pre_05.jpg,99|104|110|115|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Clear,Urban,8
00543.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00543\pre_event\00543_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00543\pre_event\00543_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00543\pre_event\00543_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00543\pre_event\00543_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00543\pre_event\00543_pre_05.jpg,73|85|96|108|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and clear weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Clear,Highway,8
01035.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01035\pre_event\01035_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01035\pre_event\01035_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01035\pre_event\01035_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01035\pre_event\01035_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01035\pre_event\01035_pre_05.jpg,30|52|75|98|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Normal,Clear,Urban,5
00882.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00882\pre_event\00882_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00882\pre_event\00882_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00882\pre_event\00882_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00882\pre_event\00882_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00882\pre_event\00882_pre_05.jpg,43|62|82|101|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and rain weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Rain,Urban,8
00745.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00745\pre_event\00745_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00745\pre_event\00745_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00745\pre_event\00745_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00745\pre_event\00745_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00745\pre_event\00745_pre_05.jpg,93|100|106|113|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and clear weather, showing a same-direction left-front collision conflict.",same-direction left-front collision conflict,Normal,Clear,Highway,7
00664.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00664\pre_event\00664_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00664\pre_event\00664_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00664\pre_event\00664_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00664\pre_event\00664_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00664\pre_event\00664_pre_05.jpg,78|88|99|110|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction left-front collision conflict.",same-direction left-front collision conflict,Normal,Clear,Urban,7
00216.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00216\pre_event\00216_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00216\pre_event\00216_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00216\pre_event\00216_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00216\pre_event\00216_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00216\pre_event\00216_pre_05.jpg,75|86|98|109|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Cloudy,Urban,2
00889.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00889\pre_event\00889_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00889\pre_event\00889_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00889\pre_event\00889_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00889\pre_event\00889_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00889\pre_event\00889_pre_05.jpg,39|59|80|100|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a opposite-direction right-side collision conflict.",opposite-direction right-side collision conflict,Normal,Cloudy,Urban,1
00189.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00189\pre_event\00189_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00189\pre_event\00189_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00189\pre_event\00189_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00189\pre_event\00189_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00189\pre_event\00189_pre_05.jpg,53|70|86|103|120,"A pre-crash dashcam traffic scene on a urban road, under twilight light and cloudy weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Twilight,Cloudy,Urban,8
00891.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00891\pre_event\00891_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00891\pre_event\00891_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00891\pre_event\00891_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00891\pre_event\00891_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00891\pre_event\00891_pre_05.jpg,75|86|98|109|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Normal,Clear,Urban,5
00226.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00226\pre_event\00226_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00226\pre_event\00226_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00226\pre_event\00226_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00226\pre_event\00226_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00226\pre_event\00226_pre_05.jpg,87|95|104|112|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Cloudy,Urban,8
00991.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00991\pre_event\00991_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00991\pre_event\00991_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00991\pre_event\00991_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00991\pre_event\00991_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00991\pre_event\00991_pre_05.jpg,92|99|106|113|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Clear,Urban,2
00330.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00330\pre_event\00330_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00330\pre_event\00330_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00330\pre_event\00330_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00330\pre_event\00330_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00330\pre_event\00330_pre_05.jpg,95|101|108|114|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Cloudy,Urban,2
00763.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00763\pre_event\00763_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00763\pre_event\00763_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00763\pre_event\00763_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00763\pre_event\00763_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00763\pre_event\00763_pre_05.jpg,69|82|94|107|120,"A pre-crash dashcam traffic scene on a urban road, under dark light and rain weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Dark,Rain,Urban,5
00105.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00105\pre_event\00105_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00105\pre_event\00105_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00105\pre_event\00105_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00105\pre_event\00105_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00105\pre_event\00105_pre_05.jpg,95|101|108|114|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Clear,Urban,2
00783.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00783\pre_event\00783_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00783\pre_event\00783_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00783\pre_event\00783_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00783\pre_event\00783_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00783\pre_event\00783_pre_05.jpg,92|99|106|113|120,"A pre-crash dashcam traffic scene on a urban road, under twilight light and clear weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Twilight,Clear,Urban,2
